Supplementary Table 4. Detailed charateristics of included stuides,,,,,,,,,,,,,,,,,,,,,,
Study ID,PMID,Author name,Year,Study population representativeness,Follow-up (Y/N),Primary exposure of interest (Y/N),Study population by region,Continent,N Total,N AD,AD outcome studied,Stages of AD reported (R/NR),AD diagonosis tool,Sample source,Type of assay reported (R/NR),Number of peripheral immune biomarkers,Age-matched (Y/N),Gender-matched (Y/N),Education-matched (Y/N),Other-matched (Y/N),No matching at all (Y/N),Main analytical methods
35,16814429,Speciale et al.,2007,Multi-hospital,N,Y,Europe,Europe,102,51,AD,R,NINCDS-ADRDA,Plasma,R,5,Y,Y,N,N,N,"Kruskall–Wallis, Mann–Whitney"
36,33016923,Duarte et al.,2020,Multi-hospital,N,Y,US,North America,148,108,AD,NR,NINCDS-ADRDA and Clinical Dementia Rating(CDR) =0.5/1.0,Plasma,R,9,N,N,N,N,Y,Wilcoxon rank sum test; Fisher’s exacT test
37,31414991,Josje et al.,2020,Multi-hospital,N,Y,Norwegian,Europe,242,154,AD,NR,NINCDS-ADRDA,Serum,R,7,N,N,N,N,Y,Mann-Whitney U test.
38,27019866,O‘Bryant et al.,2016,Multi-hospital,N,N,France,Europe,144,79,AD,NR,NINCDS-ADRDA,Plasma and serum,R,21,N,N,N,N,Y,Chi-sq and T tests
39,22801742,Doecke et al.,2012,Multi-hospital,N,Y,Australia,Australia,961,207,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,"generalized linear model, adjusted for age, sex, and APOE genotype."
40,16817867,Rosa et al.,2006,Single hospital or clinic,Y,Y,Italy,Europe,80,40,AD,NR,"NINCDS-ADRDA, DSM-IV and ischemic score of Hachinski et al. ≤4",Plasma,NR,3,Y,Y,Y,Y,N,One-way anova and Student’s T test.
41,21167930,Saresella et al.,2011,Single hospital or clinic,N,Y,Italy,Europe,112,38,AD,R,DSM-IV and NINCDS-ADRDA,Blood,R,7,Y,Y,N,N,N,Kruskal–Wallis
42,35608965,Wang et al.,2022,Regional,N,Y,China,Asia,1589,129,AD,NR,DSM-IV,Blood,R,8,N,N,N,N,Y,Logistic regression
43,34324642,Lewis et al.,2021,National,Y,Y,US,North America,3563,427,Dementia,NR,Self-reported doctor diagnosis,Blood,R,1,N,N,N,N,Y,Multiple level modeling
44,21116047,Eriksson et al.,2011,National,N,Y,Sweden,Europe,276,71,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,Y,N,ANOVA and logistic regression model
45,26599049,Sattlecker et al.,2016,Multi-hospital,Y,Y,Europe,Europe,159,90,AD,R,MMSE,Plasma,R,6,N,N,N,N,Y,Linear mixed-effects
46,16307829,Galimberti et al.,2006,Multi-hospital,N,Y,Italy,Europe,118,94,AD,R,NINCDS-ADRDA,Serum,R,1,Y,N,N,Y,N,Mann–Whitney test
47,31047856,Morgan et al.,2019,Multi-hospital,N,Y,Europe,Europe,521,262,AD,NR,NINCDS-ADRDA,Plasma,R,38,N,N,N,N,Y,"Kruskal-Wallis test, Stepwise logistic regression (SLR), ROC analysis with leave-one-out cross-validation"
48,32289574,Abe et al.,2020,Multi-hospital,N,Y,US and Canada,North America,116,69,AD,NR,"Delayed Paragraph Recall from the Wechsler Memory Scale – Revised; MMSE between 20 and 26; Clinical Dementia Rating = 0.5, 1.0; NINCDS/ADRDA ",Plasma,R,3,N,N,N,N,Y,Student's T test
49,22535710,Honma et al.,2013,Multi-hospital,Y,Y,Japan,Asia,133,40,AD,NR,DSM-III,Plasma,R,2,N,N,N,Y,N,Cox regression
50,22437436,Uslu et al.,2012,Multi-hospital,N,Y,Turkey,Europe & Asia,51,28,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,ANOVA
51,23978419,Yarchoan et al.,2013,Single hospital or clinic,Y,Y,US,North America,320,203,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,Y,N,Linear mixed-effects
52,12509851,Dekosky et al.,2002,Single hospital or clinic,N,Y,US,North America,472,359,AD,NR,Neurologists and psychiatrists with NINCDS-ADRDA and DSM-III-R,Plasma,R,1,Y,Y,Y,N,N,ANOVA
53,35465006,Lu et al.,2022,Single hospital or clinic,N,Y,China,Asia,66,36,AD,NR,NINCDS-ADRDA,Serum,R,6,Y,Y,Y,N,N,Independent sample T test; liner regression
54,27215446,Hansi et al.,2017,Single hospital or clinic,N,Y,Malaysia,Asia,78,39,AD,NR,NINCDS-ADRDA,Serum,R,10,N,N,N,N,Y,T test and Chi-sq tests
55,22272623,Reale et al.,2012,Single hospital or clinic,N,Y,Italy,Europe,77,38,AD,NR,DSM-IV-TR and NINCDS-ADRDA,Serum,R,5,Y,Y,Y,N,N,Mann-Whitney U test and Pearson Chi-sq test
56,27104907,Cestari et al.,2016,Single hospital or clinic,N,Y,Brazil,South America,46,25,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,Y,Y,N,ANOVA; Non-parametric Chi-sq test
57,22133543,Helmy et al.,2012,Single hospital or clinic,N,Y,Egypt,Asia & Africa,20,10,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,Y,N,N,T test for quantitative variables or ANOVA
58,33313759,Yeung et al.,2021,National,N,Y,Finland,Europe,455178,71800,AD,NR,NR,NR,R,37,N,N,N,N,Y,"Inverse- variance weighting meta-analysis with multiplicative ran- dom effects of the SNP-specific Wald estimates,"
59,17986101,Rodríguez-Rodríguez et al.,2007,Regional,N,Y,Spain,Europe,818,412,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Student T test
60,36384659,Huang et al.,2023,Regional,Y,Y,UK,Europe,6613198,NR,AD,NR,ICD-10,NR,NR,1,N,N,N,N,Y,Cox regression
61,17123665,Desideri et al.,2008,Multi-hospital,N,Y,Italy,Europe,120,80,AD,R,NINCDS-ADRDA and CDR,Plasma,R,1,Y,Y,N,N,N,ANOVA
62,21252539,Mansoori et al.,2010,Multi-hospital,N,Y,India,Asia,187,74,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,Kruskall–Wallis test
63,23762274,Leung et al.,2013,Multi-hospital,N,Y,Europe,Europe,229,117,AD,NR,"Alzheimer’s Disease Assessment Scale – cognitive (ADAS-Cog), Consortium to Establish a Registry for Alzheimer’s Disease (CERAD)",Plasma,R,22,N,N,N,N,Y,Linear regression
64,30993722,King et al.,2019,Multi-hospital,N,Y,UK,Europe,41,21,AD,NR,NIA‐AA,Plasma and serum,R,8,Y,N,N,N,N,ANCOVA with Bonferroni correction
65,30902060,Startin et al.,2019,Multi-hospital,N,Y,Europe,Europe,54,27,AD,NR,NR,Plasma,R,7,Y,Y,N,N,N,ANCOVAs for log-transformed concentrations
66,12210786,Schmidt et al.,2002,Single hospital or clinic,Y,Y,Japan,Asia,931,95,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Logistic regression
67,24635842,Zhang et al.,2014,Single hospital or clinic,N,Y,China,Asia,210,90,AD,R,NINCDS-ADRDA and CDR=1,Plasma,R,4,N,N,N,N,Y,ANOVA
68,3718071,Endo et al.,1986,Single hospital or clinic,N,Y,Japan,Asia,188,122,AD,NR,DSM-III,Plasma,R,16,Y,N,N,N,N,Chi-sq test
69,22279551,Bjorkqivst et al.,2012,Single hospital or clinic,N,Y,US,North America,316,142,AD,NR,DSM-III-R and NINCDS- ADRDA,Plasma,R,9,N,N,N,N,Y,Non-parametric Kruskal-Wallis tests; Mann-Whitney U-tests
70,24910016,Bu et al.,2015,Single hospital or clinic,N,Y,China,Asia,263,128,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,Y,N,N,N,Student’s T test or ANOVA
71,10713585,Mcllroy et al.,2000,Single hospital or clinic,N,Y,UK,Europe,211,106,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,1,Y,Y,N,Y,N,T test
72,19638714,Ban et al.,2009,Single hospital or clinic,N,N,Japan,Asia,244,197,AD,NR,"NINCDS-ADRDA, NINDS-AIREN, and brain scan and MRI",Serum,R,2,Y,Y,N,N,N,ANOVA
73,22922667,Kuyumcu et al.,2012,Single hospital or clinic,N,Y,Turkey,Europe & Asia,416,241,AD,NR,DSM-IV and NINCDS-ADRDA,Plasma and serum,R,1,Y,Y,N,N,N,Independent samples T test or Mann-Whitney U test
74,23368432,Bai et al.,2013,Single hospital or clinic,N,Y,China,Asia,116,76,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Mann-Whitney U tests
75,31866854,Dong et al.,2019,Single hospital or clinic,N,Y,China,Asia,115,56,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,N,N,N,ANOVA with Tukey’s post hoc test
76,28421328,Bednarska-Makaruk et al.,2017,Single hospital or clinic,N,N,Poland,Europe,196,89,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,N,N,N,N,Student T test or Oneway Analysis of Variance (ANOVA)
77,30871733,Garfias et al.,2022,Single hospital or clinic,Y,Y,Mexico,North America,35,20,AD,NR,NINCDS-ADRDA,Plasma and serum,R,3,Y,Y,N,N,N,T test (paired samples T test when required) or the Mann-Whitney U test
78,26725994,Miwa et al.,2016,Single hospital or clinic,Y,N,Japan,Asia,774,31,AD,NR,DSM-III-R and established clinical criteria,Serum,R,2,N,N,N,N,Y,Cox regression
79,20930310,Diniz et al.,2010,Single hospital or clinic,Y,Y,Brazil,South America,95,31,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,ANOVA
80,10408971,Lombardi et al.,1999,Single hospital or clinic,N,Y,Spain,Europe,90,45,AD,R,NINCDS-ADRDA and DSM-III,Plasma,R,11,Y,N,N,Y,N,"Wilcoxon signed 
rank test"
81,NIP1,Zhang et al.,2003,Single hospital or clinic,N,Y,China,Asia,64,32,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,4,Y,Y,N,N,N,ANOVA
82,18430978,Oztürk et al.,2007,Single hospital or clinic,N,Y,Turkey,Europe & Asia,52,29,AD,NR,NINCDS-ADRDA,Serum,R,8,Y,N,N,N,N,ANOVA
83,22089638,Llano et al.,2012,Single hospital or clinic,N,Y,US,North America,22,15,AD,NR,NINCDS-ADRDA,Plasma,R,9,Y,N,N,N,N,Mann-Whitney test.
84,15817002,Yamamoto et al.,2005,Single hospital or clinic,N,Y,Japan,Asia,93,61,AD,NR,"NINCDS-ADRDA, NINDS-AIREN, MMSE, Alzheimer’s Disease Assessment Scale, Revised Wechsler Adult Intelligence Scale, and Hachinski Ischemic Score",Serum,R,3,Y,Y,N,N,N,ANOVA and logistic regression model
85,16442186,Ciabattoni et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,88,44,AD,NR,NINCDS-ADRDA,Plasma,R,3,Y,Y,N,N,N,ANOVA
86,31335454,Cipollini et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,52,35,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,Y,N,N,Mann-Whitney U test
87,33851590,Dubenko et al.,2021,Single hospital or clinic,N,Y,Ukraine,Europe,45,15,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,Y,Y,N,N,Chi-sq test and Kruskal-Wallis test
88,21569380,Kim et al.,2011,Regional,N,Y,Korea,Asia,38,20,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,4,N,N,N,N,Y,ANOVA and Chi-sq tests
89,22596080,Butchart et al.,2013,Regional,N,N,UK,Europe,94,94,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,"One-sample T tests, Wilcoxon signed rank test"
90,23254637,O’Bryant et al.,2013,Regional,N,Y,US,North America,380,55,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Linear regression
91,2304653,Van Dujin et al.,1990,Multi-hospital,N,Y,Netherland,Europe,176,97,AD,NR,Slow progressive decline of intellectual function; Clinical dementia rating > 0.5; Short portable mental status questionnaire (SPMSQ) < 20; Hachinski-scale≤7; CT-scan and EEG,Serum,R,1,Y,Y,N,Y,N,ANOVA
92,29352259,Lee et al.,2018,Multi-hospital,N,Y,Taiwan,Asia,430,310,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
93,32998767,Chua et al.,2020,Multi-hospital,N,Y,Singapore,Asia,193,113,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,ANOVA
94,35523454,Weber et al.,2022,Multi-hospital,N,N,US,North America,163,75,AD,NR,NR,Plasma,R,9,N,N,N,N,Y,MannWhitney
95,35842208,Koca et al.,2022,Multi-hospital,N,Y,Turkey,Europe & Asia,50,25,AD,NR,NINCDS-ADRDA,Plasma,R,14,Y,N,N,N,N,Mann-Whitney U and Independent T test.
96,29248892,King et al.,2018,Multi-hospital,N,Y,UK,Europe,40,20,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,Shapiro-Wilk test
97,1432847,Dysken et al.,1992,Multi-hospital,N,Y,US,North America,96,55,AD,NR,DMS-III-R and NINCDS-ADRDA,Plasma and serum,R,1,Y,Y,N,N,N,ANOVA
98,18991685,Porcellini et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,972,142,AD,R,NINCDS-ADRDA and DSM-IV-R,Plasma,R,2,N,N,N,N,Y,ANOVA
99,31658056,Boccardi et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,216,129,AD,NR,NINCDS-ADRDA,Plasma,R,23,N,N,N,N,Y,Linear model analysis
100,16600299,Zuliani et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,102,60,AD,NR,NINCDS-ADRDA,Plasma,R,4,N,N,N,N,Y,ANOVA
101,18835787,Ait-ghezal et al.,2008,Single hospital or clinic,N,Y,US,North America,175,73,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,Mann–Whitney U test
102,24576746,Faria et al.,2014,Single hospital or clinic,N,Y,Brazil,South America,106,56,AD,NR,DSM-IV and NINCDS-ADRDA,Plasma,R,2,Y,N,N,N,N,Pearson’s Chi-sq test
103,24318929,Wang et al.,2014,Single hospital or clinic,N,Y,China,Asia,216,94,AD,NR,DSM- IV and NINCDS–ADRDA,Plasma,R,2,N,N,N,N,Y,"Differences between the groups in Aβ40, Aβ42, T-tau, and IL-10 were tested using a one-way repeated analysis of variance, with each group as the between-subject factor. Data of IL-6 and P-tau 181 were analyzed using Mann–Whitney test."
104,26444787,Agostini et al.,2016,Single hospital or clinic,N,Y,Italy,Europe,120,59,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,ANOVA
105,26515085,Dukic et al.,2016,Single hospital or clinic,N,Y,Croatia,Europe,120,70,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Kruskall–Wallis test ANOVA one-way analysis
106,28239640,Zhu et al.,2017,Single hospital or clinic,N,Y,Singapore,Asia,175,96,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,ANOVA and Dunn’s post hoc
107,18996438,Buchhave et al.,2009,Single hospital or clinic,Y,Y,Sweden,Europe,90,60,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,1,N,N,N,Y,N,NR
108,18037502,Bonotis et al.,2008,Single hospital or clinic,N,Y,Greece,Europe,70,49,AD,R,NINCDS-ADRDA,Serum,R,9,Y,N,N,N,N,"Kruskal-Wallis rank test, followed by Mann-Whitney test"
109,18597785,Zuliani et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,90,60,AD,R,NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,ANOVA
110,19728317,Higuchi et al.,2009,Single hospital or clinic,N,Y,Japan,Asia,32,16,AD,R,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,ANOVA
111,20634592,Saresella et al.,2010,Single hospital or clinic,N,Y,Italy,Europe,105,25,AD,R,DSM-III and NINCDS-ADRDA,Blood,R,1,Y,Y,N,N,N,Shapiro-Wilk test
112,23207486,Laske et al.,2013,Single hospital or clinic,N,Y,Germany,Europe,164,82,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,25,Y,Y,N,N,N,Support vector machines
113,21442044,Rosen et al.,2011,Single hospital or clinic,N,N,Sweden,Europe,44,24,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,10,Y,N,N,N,N,Mann–Whitney test
114,26379616,Delaby et al.,2015,Single hospital or clinic,N,Y,France,Europe,29,14,AD,NR,NINCDS-ADRDA,Serum,R,6,N,N,N,N,Y,Logistic regression
115,27229914,Villarreal et al.,2016,Single hospital or clinic,N,Y,Panama,North America,105,28,AD,NR,NINCDS-ADRDA,Serum,R,12,N,N,N,N,Y,ANOVA
116,18930766,Lee et al.,2008,Single hospital or clinic,N,Y,Korea,Asia,29,10,AD,NR,NINCDS-ADRDA,Plasma,R,20,N,N,N,N,Y,"The plasma cytokine levels of NCI, MCI, and AD patients were compared via a uni- variate analysis of variance; of them, CTACK, MIF, MIG, and SCF – all of which showed significant differences among the three groups – were compared using a univariate analysis of covari- ance. Plasma IP-10 and MCP-1 levels were compared using Kruskal Wallis test."
117,31654714,Fraga et al.,2019,Single hospital or clinic,N,Y,Brazil,South America,68,32,AD,NR,NIA-AA,Plasma and serum,R,5,Y,Y,N,Y,N,Mann–Whitney and Kruskal–Wallis with Bonferroni correction tests
118,9572596,Angelis et al.,1998,Single hospital or clinic,N,Y,Australia,Australia,73,41,AD,NR,DSM-IV,Serum,R,4,Y,Y,N,N,N,Two tailed T test
119,32705487,Conti et al.,2021,Single hospital or clinic,N,Y,Italy,Europe,75,30,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,ANOVA followed by Newman-Keuls Multiple Comparison post hoc test
120,32790155,Gu et al.,2020,Single hospital or clinic,N,Y,China,Asia,46,31,AD,NR,"IWG-2 AD criteria; Clinical Dementia Rating (CDR) score = 0.5–2, Mini-Mental State Examination (MMSE) score< 27",Plasma,R,4,Y,Y,N,N,N,Chi-sq tests
121,NIP4,Hamdan et al.,2014,Single hospital or clinic,N,Y,Iraq,Aisa,88,30,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,Y,N,ANOVA
122,19767111,Kamer et al.,2009,Single hospital or clinic,N,Y,US,North America,34,18,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,3,N,N,N,Y,N,Student T test and Mann–Whitney U test
123,26675645,Wu et al.,2015,Single hospital or clinic,N,Y,China,Asia,81,41,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,Student T test
124,15707465,Gupta et al.,2005,Single hospital or clinic,N,Y,UK,Europe,69,18,AD,NR,NINCDS-ADRDA and CT brain scan,Serum,R,2,Y,Y,N,N,N,ANOVA
125,12928051,Licastro et al.,2003,Multi-hospital,N,Y,Italy,Europe,725,332,AD,NR,"NINCDS-ADRDA, DSM-IV and CERAD",Plasma,R,1,Y,N,N,N,N,ANOVA
126,33577998,Fenoglio et al.,2004,Multi-hospital,N,Y,Italy,Europe,472,269,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Mann–Whitney test
127,35139899,Hou et al.,2022,Multi-hospital,N,Y,US,North America,364,196,AD,NR,NR,Plasma and serum,NR,2,N,N,N,N,Y,Chi-sq analysis and non-parametric analysis
128,23023094,Llano et al.,2013,Multi-hospital,N,N,US,North America,167,109,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,ANOVA
129,32630059,Scott et al.,2020,Multi-hospital,N,Y,US ,North America,104,32,AD,NR,"Delayed Word Recall Test, the Digit Symbol Subtest of the Wechsler Adult Intelligence Scale-Revised (WAIS-R) test and the Controlled Oral Word Association (or Word Fluency) Test and MRI",Serum,R,5,Y,Y,N,N,N,models
130,12505423,De luigi et al.,2002,Single hospital or clinic,N,Y,Switzerland,Europe,105,58,AD,R,NINCDS-ADRDA,Plasma,R,4,Y,N,N,N,N,nonparametric Mann- Whitney test
131,18283248,Baranowska-Bik et al.,2008,Single hospital or clinic,N,Y,Poland,Europe,124,57,AD,R,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,ANOVA
132,7728215,Altstiel et al.,1995,Single hospital or clinic,N,Y,US,North America,125,77,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,2-tailed T tests
133,16569464,Alvarez et al.,2007,Single hospital or clinic,N,Y,Spain,Europe,171,141,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,1,Y,N,N,N,N,ANCOVA
134,24916542,Edwards et al.,2014,Single hospital or clinic,N,N,US,North America,266,129,AD,R,NINCDS-ADRDA,Serum,NR,2,N,N,N,N,Y,Logistic Regressions
135,26170132,Schmitz et al.,2015,Single hospital or clinic,N,Y,Germany,Europe,180,52,AD,NR,McKhann criteria,Serum,R,8,N,N,N,N,N,ANOVA
136,36882933,Zorkina et al.,2023,Single hospital or clinic,N,Y,Russia,Europe,290,73,Dementia,NR,ICD-10,Serum,R,16,Y,N,N,N,N,Kruskal–Wallis
137,10674995,Licastro et al.,2000,Single hospital or clinic,N,Y,Italy,Europe,196,145,AD,NR,DMS III-R and NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,two tailed Student’s T test
138,23008797,Balldin et al.,2012,Single hospital or clinic,N,N,US,North America,320,124,AD,NR,NINCDS-ADRDA,Serum,R,5,N,N,N,N,Y,T tests
