Full list of included studies and their publication information (ordered by total quality score),,,,,
Study ID,PMID,Author name,Year,Title,Journal
68,30993722,King et al.,2019,"Inflammation in mild cognitive impairment due to Parkinson's disease, Lewy body disease, and Alzheimer's disease",Int J Geriatr Psychiatry
69,33851590,Dubenko et al.,2021,"Levels of proinflammatory cytokines il-17 and il-23 in patients with alzheimer's disease, mild cognitive impairment and vascular dementia",Wiad Lek
70,33313759,Yeung et al.,2021,Systemic inflammatory regulators and risk of Alzheimer's disease: a bidirectional Mendelian-randomization study,Int J Epidemiol
71,30871733,Garfias et al.,2022,Peripheral blood lymphocyte phenotypes in Alzheimer and Parkinson's diseases,Neurologia (Engl Ed)
72,2304653,Van Dujin et al.,1990,Serum levels of interleukin-6 are not elevated in patients with Alzheimer's disease,Neurosci Lett
73,1432847,Dysken et al.,1992,Distribution of peripheral lymphocytes in Alzheimer patients and controls,J Psychiatr Res
74,15707465,Gupta et al.,2005,Coagulation and inflammatory markers in Alzheimer's and vascular dementia,Int J Clin Pract
75,16600299,Zuliani et al.,2007,Plasma cytokines profile in older subjects with late onset Alzheimer's disease or vascular dementia,J Psychiatr Res
76,18930766,Lee et al.,2008,Bioplex analysis of plasma cytokines in Alzheimer's disease and mild cognitive impairment,Immunol Lett
77,18835787,Ait-ghezal et al.,2008,"Diagnostic utility of APOE, soluble CD40, CD40L, and Abeta1-40 levels in plasma in Alzheimer's disease",Cytokine
78,18991685,Porcellini et al.,2008,Elevated plasma levels of alpha-1-anti-chymotrypsin in age-related cognitive decline and Alzheimer's disease: a potential therapeutic target,Curr Pharm Des
79,18037502,Bonotis et al.,2008,Systemic immune aberrations in Alzheimer's disease patients,J Neuroimmunol
80,18597785,Zuliani et al.,2008,Markers of endothelial dysfunction in older subjects with late onset Alzheimer's disease or vascular dementia,J Neurol Sci
81,19767111,Kamer et al.,2009,TNF-alpha and antibodies to periodontal bacteria discriminate between Alzheimer's disease patients and normal subjects,J Neuroimmunol
82,19728317,Higuchi et al.,2009,Association between altered systemic inflammatory interleukin-1beta and natural killer cell activity and subsequently agitation in patients with Alzheimer disease,Int J Geriatr Psychiatry
83,18996438,Buchhave et al.,2009,Elevated plasma levels of soluble CD40 in incipient Alzheimer's disease,Neurosci Lett
84,21569380,Kim et al.,2011,Identification of peripheral inflammatory markers between normal control and Alzheimer's disease,BMC Neurol
85,21442044,Rosen et al.,2011,Discriminatory Analysis of Biochip-Derived Protein Patterns in CSF and Plasma in Neurodegenerative Diseases,Front Aging Neurosci
86,23254637,O’Bryant et al.,2013,The link between C-reactive protein and Alzheimer's disease among Mexican Americans,J Alzheimers Dis
87,23207486,Laske et al.,2013,Immune profiling in blood identifies sTNF-R1 performing comparably well as biomarker panels for classification of Alzheimer's disease patients,J Alzheimers Dis
88,22596080,Butchart et al.,2013,Male sex hormones and systemic inflammation in Alzheimer disease,Alzheimer Dis Assoc Disord
89,24576746,Faria et al.,2014,Increased plasma levels of BDNF and inflammatory markers in Alzheimer's disease,J Psychiatr Res
90,24318929,Wang et al.,2014,The efficacy of plasma biomarkers in early diagnosis of Alzheimer's disease,Int J Geriatr Psychiatry
91,26675645,Wu et al.,2015,Alterations of the Neuroinflammatory Markers IL-6 and TRAIL in Alzheimer's Disease,Dement Geriatr Cogn Dis Extra
92,26379616,Delaby et al.,2015,Central Nervous System and Peripheral Inflammatory Processes in Alzheimer's Disease: Biomarker Profiling Approach,Front Neurol
93,26444787,Agostini et al.,2016,Lack of evidence for a role of HHV-6 in the pathogenesis of Alzheimer's disease,J Alzheimers Dis
94,26515085,Dukic et al.,2016,"The role of human kallikrein 6, clusterin and adiponectin as potential blood biomarkers of dementia",Clin Biochem
95,27229914,Villarreal et al.,2016,Serum-based protein profiles of Alzheimer's disease and mild cognitive impairment in elderly Hispanics,Neurodegener Dis Manag
96,28239640,Zhu et al.,2017,Serum IL-8 is a marker of white-matter hyperintensities in patients with Alzheimer's disease,Alzheimers Dement (Amst)
97,29248892,King et al.,2018,Peripheral inflammation in prodromal Alzheimer's and Lewy body dementias,J Neurol Neurosurg Psychiatry
98,29352259,Lee et al.,2018,Plasma MCP-1 and Cognitive Decline in Patients with Alzheimer's Disease and Mild Cognitive Impairment: A Two-year Follow-up Study,Sci Rep
99,31654714,Fraga et al.,2019,Inflammatory and Pro-resolving Mediators in Frontotemporal Dementia and Alzheimer's Disease,Neuroscience
100,31658056,Boccardi et al.,2019,Cognitive Decline and Alzheimer's Disease in Old Age: A Sex-Specific Cytokinome Signature,J Alzheimers Dis
101,32790155,Gu et al.,2020,Elevated matrix metalloproteinase-9 levels in neuronal extracellular vesicles in Alzheimer's disease,Ann Clin Transl Neurol
102,32998767,Chua et al.,2020,Immunomodulatory sphingosine-1-phosphates as plasma biomarkers of Alzheimer's disease and vascular cognitive impairment,Alzheimers Res Ther
103,35842208,Koca et al.,2022,Decreased levels of cytokines implicate altered immune response in plasma of moderate-stage Alzheimer's disease patients,Neurosci Lett
104,35523454,Weber et al.,2022,Peripheral sTREM2-Related Inflammatory Activity Alterations in Early-Stage Alzheimer's Disease,J Immunol
105,1770834,Cacabelos et al.,1991,Interleukin-1 in Alzheimer's disease and multi-infarct dementia: neuropsychological correlations,Methods Find Exp Clin Pharmacol
106,8556481,Chao et al.,1994,Serum cytokine levels in patients with Alzheimer's disease,Clin Diagn Lab Immunol
107,7768042,Shalit et al.,1995,T lymphocyte subpopulations and activation markers correlate with severity of Alzheimer's disease,Clin Immunol Immunopathol
108,7728215,Altstiel et al.,1995,Elevated alpha 1-antichymotrypsin serum levels in a subset of nondemented first-degree relatives of Alzheimer's disease patients,Dementia
109,8971699,Alvare et al.,1996,"Blood levels of histamine, IL-1 beta, and TNF-alpha in patients with mild to moderate Alzheimer diseas",Mol Chem Neuropathol
110,9325475,Kálmán et al.,1997,Serum interleukin-6 levels correlate with the severity of dementia in Down syndrome and in Alzheimer's disease,Acta Neurol Scand
111,10195318,Song et al.,1999,Alterations in immune functions during normal aging and Alzheimer's disease,Psychiatry Res
112,10674995,Licastro et al.,2000,"Increased plasma levels of interleukin-1, interleukin-6 and alpha-1-antichymotrypsin in patients with Alzheimer's disease: peripheral inflammation or signals from the brain?",J Neuroimmunol
113,12505423,De luigi et al.,2002,Peripheral inflammatory response in Alzheimer's disease and multiinfarct dementia,Neurobiol Dis
114,12928051,Licastro et al.,2003,Interleukin-6 gene alleles affect the risk of Alzheimer's disease and levels of the cytokine in blood and brain,Neurobiol Aging
115,12928047,Teunissen et al.,2003,Combination of serum markers related to several mechanisms in Alzheimer's disease,Neurobiol Aging
116,33577998,Fenoglio et al.,2004,The MCP-1 A-2518G polymorphism increases the risk of Alzheimer's disease: A case-control study,Neurosci Lett
117,16961066,Malaguarrnera et al.,2006,Interleukin-18 and transforming growth factor-beta 1 plasma levels in Alzheimer's disease and vascular dementia,Neuropathology
118,17949824,Motta et al.,2007,Altered plasma cytokine levels in Alzheimer's disease: correlation with the disease progression,Immunol Lett
119,16569464,Alvarez et al.,2007,Serum TNF-alpha levels are increased and correlate negatively with free IGF-I in Alzheimer disease,Neurobiol Aging
120,17761554,Nielsen et al.,2007,Plasma and CSF serpins in Alzheimer disease and dementia with Lewy bodies,Neurology
121,16516234,Richartz-Salzburger et al.,2007,Altered lymphocyte distribution in Alzheimer's disease,J Psychiatr Res
122,17934323,Guerreiro et al. ,2007,Peripheral inflammatory cytokines as biomarkers in Alzheimer's disease and mild cognitive impairment,Neurodegener Dis
123,19513308,Choi et al.,2008,Multiplex analysis of cytokines in the serum and cerebrospinal fluid of patients with Alzheimer's disease by color-coded bead technology,J Clin Neurol
124,18283248,Baranowska et al.,2008,Plasma beta amyloid and cytokine profile in women with Alzheimer's disease,Neuro Endocrinol Lett
125,19996595,Forlenza et al.,2009,Increased serum IL-1beta level in Alzheimer's disease and mild cognitive impairment,Dement Geriatr Cogn Disord
126,21463871,Choi et al.,2011,Increased plasma levels of lipocalin 2 in mild cognitive impairment,J Neurol Sci
127,21239851,Smith et al.,2011,Plasma fetuin-A is associated with the severity of cognitive impairment in mild-to-moderate Alzheimer's disease,J Alzheimers Dis
128,21484243,Corsi et al.,2011,Reduced plasma levels of P-selectin and L-selectin in a pilot study from Alzheimer disease: relationship with neuro-degeneration,Biogerontology
129,19395124,Marksteiner et al.,2011,Five out of 16 plasma signaling proteins are enhanced in plasma of patients with mild cognitive impairment and Alzheimer's disease,Neurobiol Aging
130,23008797,Balldin et al.,2012,The Relation between Inflammation and Neuropsychological Test Performance,Int J Alzheimers Dis
131,22539447,Parker et al.,2013,Plasma neopterin level as a marker of peripheral immune activation in amnestic mild cognitive impairment and Alzheimer's disease,Int J Geriatr Psychiatry
132,23023094,Llano et al.,2013,Evaluation of plasma proteomic data for Alzheimer disease state classification and for the prediction of progression from mild cognitive impairment to Alzheimer disease,Alzheimer Dis Assoc Disord
133,23874844,Maftei et al.,2013,Increased levels of antigen-bound β-amyloid autoantibodies in serum and cerebrospinal fluid of Alzheimer's disease patients,PLoS One
134,24155977,Westman et al.,2013,Decreased proportion of cytomegalovirus specific CD8 T-cells but no signs of general immunosenescence in Alzheimer's disease,PLoS One
135,24916542,Edwards et al.,2014,Combining select neuropsychological assessment with blood-based biomarkers to detect mild Alzheimer's disease: a molecular neuropsychology approach,J Alzheimers Dis
136,24804776,Westman et al.,2014,Increased inflammatory response in cytomegalovirus seropositive patients with Alzheimer's disease,PLoS One
137,26738345,Kizilarslanoğlu et al.,2015,"Alzheimer disease, inflammation, and novel inflammatory marker: resistin",Turk J Med Sci
138,26706786,Yu et al.,2016,Diagnostic utility of VEGF and soluble CD40L levels in serum of Alzheimer's patients,Clin Chim Acta
139,26828804,Savas at al.,2016,"No relationship between lipoprotein-associated phospholipase A2, proinflammatory cytokines, and neopterin in Alzheimer's disease",Exp Gerontol
140,26337250,Bozluolcay et al.,2016,Inflammatory hypothesis as a link between Alzheimer's disease and diabetes mellitus,Geriatr Gerontol Int
141,28461186,Fan et al.,2017,APOE ε4 allele elevates the expressions of inflammatory factors and promotes Alzheimer's disease progression: A comparative study based on Han and She populations in the Wenzhou area,Brain Res Bull
142,29039020,Magalhães et al.,2018,Systemic Inflammation and Multimodal Biomarkers in Amnestic Mild Cognitive Impairment and Alzheimer's Disease,Mol Neurobiol
143,29420357,Nikolaos et al.,2018,Acetyl Cholinesterase Inhibitors and Cell-Derived Peripheral Inflammatory Cytokines in Early Stages of Alzheimer's Disease,J Clin Psychopharmacol
144,32630059,Scott et al.,2020,The Inflammasome Adaptor Protein ASC in Mild Cognitive Impairment and Alzheimer's Disease,Int J Mol Sci
145,32678011,Liang et al.,2020,The role of interleukin-33 in patients with mild cognitive impairment and Alzheimer's disease,Alzheimers Res Ther
146,32505187,Saresella at al.,2020,IL-33 and its decoy sST2 in patients with Alzheimer's disease and mild cognitive impairment,J Neuroinflammation
147,33810505,"Chiurchiù
 et al.",2021,Anti-Inflammatory Effects of Fatty Acid Amide Hydrolase Inhibition in Monocytes/Macrophages from Alzheimer's Disease Patients,Biomolecules
148,35139899,Hou et al.,2022,"Association of peripheral immunity with cognition, neuroimaging, and Alzheimer's pathology",Alzheimers Res Ther
149,35342094,Zhang et al.,2022,Peripheral Immune Cells and Cerebrospinal Fluid Biomarkers of Alzheimer's Disease Pathology in Cognitively Intact Older Adults: The CABLE Study,J Alzheimers Dis
150,6982128,Macdonald et al.,1982,"
Immunological parameters in the aged and in Alzheimer's disease",Clin Exp Immunol
151,2690117,Matsubara et al.,1989,Serum concentration of alpha 1-antichymotrypsin is elevated in patients with senile dementia of the Alzheimer type,Prog Clin Biol Res
152,2147546,Matsubara et al.,1990,Alpha 1-antichymotrypsin as a possible biochemical marker for Alzheimer-type dementia,Ann Neurol
153,1927262,Esumi et al.,1991,Serum interleukin-2 levels in patients with dementia of the Alzheimer type,Acta Neurol Scand
154,1950471,Araga et al.,1991,Reduced natural killer cell activity in patients with dementia of the Alzheimer type,Acta Neurol Scand
155,1564514,Pirttila et al.,1992,The decrease of CD8-positive lymphocytes in Alzheimer's disease,J Neurol Sci
156,8532107,Lieberman et al.,1995,Serum alpha 1-antichymotrypsin level as a marker for Alzheimer-type dementia,Neurobiol Aging
157,7487688,Hu et al.,1995,Peripheral blood lymphocyte subset distribution and function in patients with Alzheimer's disease and other dementias,Aust N Z J Med
158,8939278,Licastro et al.,1996,Serological alpha 1-antichymotrypsin in patients with probable senile dementia of Alzheimer type: a short-term longitudinal study,Alzheimer Dis Assoc Disord
159,9447570,Singh et al.,1997,Circulating cytokines in Alzheimer's disease,J Psychiatr Res
160,9194954,Hamepl et al.,1997,Blood-cerebrospinal fluid barrier dysfunction for high molecular weight proteins in Alzheimer disease and major depression: indication for disease subsets,Alzheimer Dis Assoc Disord
161,9825023,Bonaccorso et al.,1998,Serotonin-immune interactions in elderly volunteers and in patients with Alzheimer's disease (DAT): lower plasma tryptophan availability to the brain in the elderly and increased serum interleukin-6 in DAT,Aging (Milano)
162,11378247,Scacchi et al.,2001,Plasma alpha1-antichymotrypsin in Alzheimer's disease; relationships with APOE genotypes,Neurobiol Aging
163,12218645,Borroni et al.,2002,Peripheral blood abnormalities in Alzheimer disease: evidence for early endothelial dysfunction,Alzheimer Dis Assoc Disord
164,12059070,Scacchi et al.,2002,Alpha2-macroglobulin deletion polymorphism and plasma levels in late onset Alzheimer's disease,Clin Chem Lab Med
165,12928049,Sala et al.,2003,Peripheral cytokine release in Alzheimer patients: correlation with disease severity,Neurobiol Aging
166,15992563,Richartz et al.,2005,Decline of immune responsiveness: a pathogenetic factor in Alzheimer's disease?,J Psychiatr Res
167,15677865,Richartz et al.,2005,Diminished production of proinflammatory cytokines in patients with Alzheimer's disease,Dement Geriatr Cogn Disord
168,16688597,Rota et al.,2006,"Increased intrathecal TGF-beta1, but not IL-12, IFN-gamma and IL-10 levels in Alzheimer's disease patients",Neurol Sci
169,17827418,Rentzos et al.,2007,Circulating interleukin-15 in dementia disorders,J Neuropsychiatry Clin Neurosci
170,18690833,Kassner et al.,2008,Novel systemic markers for patients with Alzheimer disease? - a pilot study,Curr Alzheimer Res
171,18378357,Schuitemaker et al.,2009,Inflammatory markers in AD and MCI patients with different biomarker profiles,Neurobiol Aging
172,19809863,Lepara et al.,2009,Elevated serum homocysteine level is not associated with serum C-reactive protein in patients with probable Alzheimer's disease,J Neural Transm (Vienna)
173,21466745,Laske et al.,2011,Identification of a blood-based biomarker panel for classification of Alzheimer's disease,Int J Neuropsychopharmacol
174,21875409,Hochstress et al.,2012,Matrix metalloproteinase-2 and epidermal growth factor are decreased in platelets of Alzheimer patients,Curr Alzheimer Res 
175,22303443,Westin et al.,2012,CCL2 is associated with a faster rate of cognitive decline during early stages of Alzheimer's disease,PLoS One
176,23242124,Alsadany et al.,2013,"Histone deacetylases enzyme, copper, and IL-8 levels in patients with Alzheimer's disease",Am J Alzheimers Dis Other Demen
177,23201485,Salani et al.,2013,Increased expression of interleukin-18 receptor in blood cells of subjects with mild cognitive impairment and Alzheimer's disease,Cytokine
178,23585364,Richardson et al.,2013,Blood pro-inflammatory cytokines in Alzheimer's disease in relation to the use of acetylcholinesterase inhibitors,Int J Geriatr Psychiatry
179,23230229,Huang et al.,2013,Potential blood biomarker for disease severity in the Taiwanese population with Alzheimer's disease,Am J Alzheimers Dis Other Demen
180,23515357,Biella et al.,2013,Multiplex assessment of a panel of 16 serum molecules for the differential diagnosis of Alzheimer's disease,Am J Neurodegener Dis
181,23948885,Gezen-Ak et al.,2013,"BDNF, TNFα, HSP90, CFH, and IL-10 serum levels in patients with early or late onset Alzheimer's disease or mild cognitive impairment",J Alzheimers Dis
182,23871825,Gubandru et al.,2013,Alzheimer's disease treated patients showed different patterns for oxidative stress and inflammation markers,Food Chem Toxicol
183,24333505,Marksteiner et al.,2014,Analysis of 27 vascular-related proteins reveals that NT-proBNP is a potential biomarker for Alzheimer's disease and mild cognitive impairment: a pilot-study,Exp Gerontol
184,25277040,Lueg et al.,2015,Clinical relevance of specific T-cell activation in the blood and cerebrospinal fluid of patients with mild Alzheimer's disease,Neurobiol Aging
185,26004156,Dursun et al.,2015,"The interleukin 1 alpha, interleukin 1 beta, interleukin 6 and alpha-2-macroglobulin serum levels in patients with early or late onset Alzheimer's disease, mild cognitive impairment or Parkinson's disease",J Neuroimmunol
186,27671345,Hesse et al.,2016,Decreased IL-8 levels in CSF and serum of AD patients and negative correlation of MMSE and IL-1β,BMC Neurol
187,28130814,Kim et al.,2017,Serum tumour necrosis factor-α and interleukin-6 levels in Alzheimer's disease and mild cognitive impairment,Psychogeriatrics
188,24877062,Crispoltoni et al.,2017,Peripheral blood mononuclear cells as a laboratory to study dementia in the elderly,Biomed Res Int
189,32649324,Tramutola et al.,2018,Value of a Panel of 6 Serum Biomarkers to Differentiate Between Healthy Controls and Mild Cognitive Impairment Due to Alzheimer Disease,Alzheimer Dis Assoc Disord
190,29369398,Dong et al.,2018,Neutrophil hyperactivation correlates with Alzheimer's disease progression,Ann Neurol
191,31217537,Ciccocioppo et al.,2019,The Characterization of Regulatory T-Cell Profiles in Alzheimer's Disease and Multiple Sclerosis,Sci Rep
192,35708851,Sochocka et al.,2022,Sex Differences in Innate Immune Response of Peripheral Blood Leukocytes of Alzheimer's Disease Patients,Arch Immunol Ther Exp (Warsz)
193,35922871,Prins et al.,2022,Inflammatory plasma biomarkers in subjects with preclinical Alzheimer's disease,Alzheimers Res Ther
194,3155531,Leffell et al.,1985,An analysis of T lymphocyte subpopulations in patients with Alzheimer's disease,J Am Geriatr Soc
195,3487743,Small et al.,1986,HLA-A2 as a possible marker for early-onset Alzheimer disease in me,Neurobiol Aging
196,2452738,Giometto et al.,1988,Acute-phase proteins in Alzheimer's disease,Eur Neurol
197,1683096,Ikeda et al.,1991,Interleukin-2 receptor in peripheral blood lymphocytes of Alzheimer's disease patients,Acta Psychiatr Scand
198,7936055,Pirttila et al.,1994,Alpha 1-antichymotrypsin and IL-1 beta are not increased in CSF or serum in Alzheimer's disease,Neurobiol Aging
199,9405000,Kira et al.,1997,An association of human T-cell lymphotropic virus type I infection with vascular dementia,Acta Neurol Scand
200,11268360,Solerte et al.,2000,Overproduction of IFN-gamma and TNF-alpha from natural killer (NK) cells is associated with abnormal NK reactivity and cognitive derangement in Alzheimer's disease,Ann N Y Acad Sci
